id|name|rarity|type|attribute|power|counter|color|card_type|effect|image_url|alternate_art|series_id|series_name
EB01-006|Tony Tony.Chopper|SR|CHARACTER|Strike|4000|1000|Red|Animal/Straw Hat Crew|[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)[DON!! x2] [When Attacking] Give up to 1 of your opponent's Characters −3000 power during this turn.|https://en.onepiece-cardgame.com/images/cardlist/card/EB01-006_p5.png?250214|True|569301|ONE PIECE CARD THE BEST- [PRB-01]
OP01-006|Otama|UC|CHARACTER|Special|-|2000|Red|Land of Wano|[On Play] Give up to 1 of your opponent's Characters −2000 power during this turn.|https://en.onepiece-cardgame.com/images/cardlist/card/OP01-006_p2.png?250214|True|569301|ONE PIECE CARD THE BEST- [PRB-01]
OP01-006|Otama|UC|CHARACTER|Special|-|2000|Red|Land of Wano|[On Play] Give up to 1 of your opponent's Characters −2000 power during this turn.|https://en.onepiece-cardgame.com/images/cardlist/card/OP01-006_p3.png?250214|True|569301|ONE PIECE CARD THE BEST- [PRB-01]
OP01-006|Otama|UC|CHARACTER|Special|-|2000|Red|Land of Wano|[On Play] Give up to 1 of your opponent's Characters −2000 power during this turn.|https://en.onepiece-cardgame.com/images/cardlist/card/OP01-006_p4.png?250214|True|569301|ONE PIECE CARD THE BEST- [PRB-01]
OP01-006|Otama|UC|CHARACTER|Special|-|2000|Red|Land of Wano|[On Play] Give up to 1 of your opponent's Characters −2000 power during this turn.|https://en.onepiece-cardgame.com/images/cardlist/card/OP01-006_p5.png?250214|True|569301|ONE PIECE CARD THE BEST- [PRB-01]
OP01-016|Nami|R|CHARACTER|Special|2000|1000|Red|Straw Hat Crew|[On Play] Look at 5 cards from the top of your deck; reveal up to 1 {Straw Hat Crew} type card other than [Nami] and add it to your hand. Then, place the rest at the bottom of your deck in any order.|https://en.onepiece-cardgame.com/images/cardlist/card/OP01-016_p8.png?250214|True|569301|ONE PIECE CARD THE BEST- [PRB-01]
OP01-024|Monkey.D.Luffy|SR|CHARACTER|Strike|3000|1000|Red|Supernovas/Straw Hat Crew|[DON!! x2] This Character cannot be K.O.'d in battle by <Strike> attribute Characters.[Activate: Main] [Once Per Turn] Give this Character up to 2 rested DON!! cards.|https://en.onepiece-cardgame.com/images/cardlist/card/OP01-024_p2.png?250214|True|569301|ONE PIECE CARD THE BEST- [PRB-01]
OP01-024|Monkey.D.Luffy|SR|CHARACTER|Strike|3000|1000|Red|Supernovas/Straw Hat Crew|[DON!! x2] This Character cannot be K.O.'d in battle by <Strike> attribute Characters.[Activate: Main] [Once Per Turn] Give this Character up to 2 rested DON!! cards.|https://en.onepiece-cardgame.com/images/cardlist/card/OP01-024_p3.png?250214|True|569301|ONE PIECE CARD THE BEST- [PRB-01]
OP01-029|Radical Beam!!|UC|EVENT||-|-|Red|Straw Hat Crew|[Counter] Up to 1 of your Leader or Character cards gains +2000 power during this battle. Then, if you have 2 or less Life cards, that card gains an additional +2000 power.|https://en.onepiece-cardgame.com/images/cardlist/card/OP01-029_p1.png?250214|True|569301|ONE PIECE CARD THE BEST- [PRB-01]
OP01-029|Radical Beam!!|UC|EVENT||-|-|Red|Straw Hat Crew|[Counter] Up to 1 of your Leader or Character cards gains +2000 power during this battle. Then, if you have 2 or less Life cards, that card gains an additional +2000 power.|https://en.onepiece-cardgame.com/images/cardlist/card/OP01-029_p2.png?250214|True|569301|ONE PIECE CARD THE BEST- [PRB-01]
OP01-029|Radical Beam!!|UC|EVENT||-|-|Red|Straw Hat Crew|[Counter] Up to 1 of your Leader or Character cards gains +2000 power during this battle. Then, if you have 2 or less Life cards, that card gains an additional +2000 power.|https://en.onepiece-cardgame.com/images/cardlist/card/OP01-029_p3.png?250214|True|569301|ONE PIECE CARD THE BEST- [PRB-01]
OP01-033|Izo|UC|CHARACTER|Ranged|3000|2000|Green|Land of Wano/Former Whitebeard Pirates|[On Play] Rest up to 1 of your opponent's Characters with a cost of 4 or less.|https://en.onepiece-cardgame.com/images/cardlist/card/OP01-033_p2.png?250214|True|569301|ONE PIECE CARD THE BEST- [PRB-01]
OP01-033|Izo|UC|CHARACTER|Ranged|3000|2000|Green|Land of Wano/Former Whitebeard Pirates|[On Play] Rest up to 1 of your opponent's Characters with a cost of 4 or less.|https://en.onepiece-cardgame.com/images/cardlist/card/OP01-033_p3.png?250214|True|569301|ONE PIECE CARD THE BEST- [PRB-01]
OP01-033|Izo|UC|CHARACTER|Ranged|3000|2000|Green|Land of Wano/Former Whitebeard Pirates|[On Play] Rest up to 1 of your opponent's Characters with a cost of 4 or less.|https://en.onepiece-cardgame.com/images/cardlist/card/OP01-033_p4.png?250214|True|569301|ONE PIECE CARD THE BEST- [PRB-01]
OP01-033|Izo|UC|CHARACTER|Ranged|3000|2000|Green|Land of Wano/Former Whitebeard Pirates|[On Play] Rest up to 1 of your opponent's Characters with a cost of 4 or less.|https://en.onepiece-cardgame.com/images/cardlist/card/OP01-033_p5.png?250214|True|569301|ONE PIECE CARD THE BEST- [PRB-01]
OP01-041|Kouzuki Momonosuke|R|CHARACTER|Slash|-|1000|Green|Land of Wano/Kouzuki Clan|[Activate: Main] ➀ (You may rest the specified number of DON!! cards in your cost area.) You may rest this Character: Look at 5 cards from the top of your deck; reveal up to 1 {Land of Wano} type card and add it to your hand. Then, place the rest at the bottom of your deck in any order.|https://en.onepiece-cardgame.com/images/cardlist/card/OP01-041_p2.png?250214|True|569301|ONE PIECE CARD THE BEST- [PRB-01]
OP01-041|Kouzuki Momonosuke|R|CHARACTER|Slash|-|1000|Green|Land of Wano/Kouzuki Clan|[Activate: Main] ➀ (You may rest the specified number of DON!! cards in your cost area.) You may rest this Character: Look at 5 cards from the top of your deck; reveal up to 1 {Land of Wano} type card and add it to your hand. Then, place the rest at the bottom of your deck in any order.|https://en.onepiece-cardgame.com/images/cardlist/card/OP01-041_p3.png?250214|True|569301|ONE PIECE CARD THE BEST- [PRB-01]
